0  0  -1
1  0  0
2  0  -1
3  0  -2
4  0  -1
5  1  -1
6  1  -2
7  1  -3
8  1  -2
9  0  -2
10  1  -2
11  1  -3
12  0  -3
13  0  -2
14  0  -1
15  0  -2
16  1  -2
17  1  -1
18  2  -1
19  2  0
20  1  0
21  0  0
22  -1  0
23  -1  -1
24  -1  -2
25  -1  -3
26  -1  -2
27  -2  -2
28  -2  -1
29  -3  -1
30  -2  -1
31  -2  0
32  -2  -1
33  -3  -1
34  -3  -2
35  -2  -2
36  -2  -3
37  -1  -3
38  0  -3
39  1  -3
40  2  -3
41  2  -4
42  2  -5
43  3  -5
44  3  -6
45  4  -6
46  3  -6
47  4  -6
48  3  -6
49  3  -5
50  2  -5
51  2  -4
52  1  -4
53  1  -5
54  0  -5
55  1  -5
56  2  -5
57  3  -5
58  2  -5
59  3  -5
60  3  -6
61  2  -6
62  3  -6
63  2  -6
64  2  -7
65  2  -6
66  2  -7
67  3  -7
68  3  -8
69  3  -7
70  3  -6
71  2  -6
72  2  -7
73  1  -7
74  1  -6
75  0  -6
76  0  -5
77  1  -5
78  1  -4
79  0  -4
80  1  -4
81  0  -4
82  0  -5
83  0  -4
84  1  -4
85  1  -3
86  2  -3
87  2  -4
88  2  -3
89  2  -4
90  1  -4
91  2  -4
92  2  -5
93  3  -5
94  2  -5
95  3  -5
96  3  -4
97  3  -3
98  4  -3
99  5  -3
100  5  -2
101  5  -3
102  4  -3
103  4  -2
104  3  -2
105  3  -3
106  4  -3
107  4  -4
108  4  -3
109  4  -4
110  3  -4
111  2  -4
112  2  -3
113  2  -2
114  2  -1
115  3  -1
116  4  -1
117  4  -2
118  4  -1
119  4  0
120  3  0
121  4  0
122  5  0
123  5  1
124  5  2
125  4  2
126  4  1
127  4  2
128  5  2
129  6  2
130  7  2
131  8  2
132  8  1
133  7  1
134  6  1
135  6  0
136  7  0
137  7  -1
138  6  -1
139  7  -1
140  6  -1
141  5  -1
142  6  -1
143  5  -1
144  6  -1
145  6  0
146  5  0
147  5  1
148  5  0
149  5  -1
150  5  0
151  4  0
152  4  1
153  4  0
154  5  0
155  5  1
156  4  1
157  4  2
158  4  1
159  5  1
160  5  0
161  5  1
162  5  0
163  5  1
164  4  1
165  3  1
166  4  1
167  3  1
168  4  1
169  5  1
170  4  1
171  3  1
172  4  1
173  3  1
174  3  0
175  3  -1
176  3  -2
177  3  -1
178  3  -2
179  3  -3
180  3  -2
181  3  -3
182  2  -3
183  1  -3
184  1  -4
185  1  -3
186  1  -4
187  1  -3
188  0  -3
189  -1  -3
190  -1  -4
191  0  -4
192  1  -4
193  1  -5
194  0  -5
195  1  -5
196  1  -6
197  0  -6
198  0  -7
199  -1  -7
200  -2  -7
201  -2  -8
202  -3  -8
203  -3  -7
204  -4  -7
205  -3  -7
206  -2  -7
207  -2  -6
208  -3  -6
209  -2  -6
210  -2  -7
211  -2  -6
212  -1  -6
213  -1  -7
214  0  -7
215  0  -8
216  0  -7
217  0  -6
218  -1  -6
219  -1  -5
220  -1  -6
221  -1  -7
222  -1  -8
223  -2  -8
224  -2  -7
225  -1  -7
226  -2  -7
227  -2  -8
228  -2  -7
229  -1  -7
230  0  -7
231  0  -8
232  1  -8
233  2  -8
234  2  -7
235  2  -6
236  2  -5
237  1  -5
238  1  -4
239  1  -5
240  1  -6
241  2  -6
242  1  -6
243  1  -7
